,itens,predito,real
0,FRALDA INFANTIL G (DE 9 A 13KG),1,1
1,FRALDA INFANTIL M (DE 6 A 10KG),1,1
2,FRALDA INFANTIL P (ATE 6KG),1,1
0,FRALDA INFANTIL EG (ACIMA DE 12KG),1,1
